Adventure	Level	Campaign Setting	Location	Source	Pg. #
A Blight on the Forest	20-30	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	15
A Flight of Eagles	4-7	Pelinore		GM1 A Flight of Eagles	13
A Night Out in the Forest	1	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	6
A Quiet Day Spent Fishing	12-16	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	11
A Way with Words	1-3	Thunder Rift		Dungeon #41	28
A-Hunting We Will Go	1-36	Mystara		PC4 Night Howlers: DM's Guide	51
An Unwelcome Visitor	1-3	Mystara		HWR1 Sons of Azca: Azcan Campaign Book	6
At the Spottle Parlor	1-3	Mystara	Glantri	Dungeon #12	24
Bringing the Herd	2-10	Mystara		PC4 Night Howlers: DM's Guide	49
Caravan Guards	6-8	Mystara	Darokin	Dungeon #26	30
Cattle of the March	1-25	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	13
Crash Landing	3-5	Mystara		PC2 Top Ballista: Adventurers Booklet	11
Dovedale	1-3	Mystara		Dungeon #46	8
Dunerigger	6-8	Generic		GM2 Find the Lady	49
Elexa's Endeavor	4-7	Mystara	Karameikos	Dungeon #53	38
Encounters		Mystara		Polyhedron #15	9
Escape from Zanzer's Dungeon	??	Thunder Rift		The Classic Dungeons & Dragons Game	48
Find the Lady	1-3	Pelinore		GM2 Find the Lady	15
Flight of the Bumblebee	7-9	Calidar		https://bruce-heard.blogspot.com/2013/11/BBBee01.html	
Friendship Bonding	1-3	Mystara		PC3 The Sea People: The Adventure Book	5
Garbage Pits of Dispair Part 1		Mystara	Blackmoor	Different Worlds #42	M1
Garbage Pits of Dispair Part 2		Mystara	Blackmoor	Different Worlds #42	M1
Good Intentions	5-36	Mystara		PC4 Night Howlers: DM's Guide	50
Guilty if Caught		Generic		Imagine #24	25
Heart of Darkness	7-11	Mystara		PC2 Top Ballista: Adventurers Booklet	14
Hrothgar's Resting Place	4-7	Mystara	Karameikos	Dungeon #25	32
In Pursuit of the Slayer	6-9	Generic		Dungeon #15	13
In Search of New Gods	4-7	Pelinore		GM3 In Search of New Gods	17
In the Dread of Night	1-3	Mystara	Karameikos	Dungeon #24	6
Island of the Dry Skins	5	Mystara		PC3 The Sea People: The Adventure Book	8
Isle of the Abbey	1-3	Mystara		Dungeon #34	26
Jack of All Trades		Pelinore		Imagine: Special Edition	??
Lupin Attack	1-5	Mystara		PC4 Night Howlers: DM's Guide	48
Manden's Meathooks	4-6	Mystara	Glantri	Dungeon #28	20
Night of Fear	1	Mystara		Dungeon #28	40
Of Nests and Nations	8-12	Mystara	Karameikos	Dungeon #13	47
One Fine Day in the Middle of the Night		Pelinore		Imagine #27	25
Pride of the Sky	8-12	Mystara	The Broken Lands	Dungeon #20	42
