Rule	Source	Pg. #	OGL Source/Legal Status
Ability Checks	Rules Cyclopedia	143	Dark Dungeons Deluxe
Aerial Combat	Rules Cyclopedia	114	Dark Dungeons Deluxe
Aerial Combat (Expanded)	AC10 Bestiary of Dragons and Giants	29	PD
Aerial Movement and Combat	GAZ15 Dawn of the Emperors: Thyatis and Alphatia: Book #1: The Dungeon Master's Sourcebook	83	PD
Aerial Travel	Rules Cyclopedia	90	Dark Dungeons Deluxe
Afflictions and Accidents	GAZ7 The Northern Reaches: Players Book	21	PD
Aging	Rules Cyclopedia	143	Dark Dungeons Deluxe
Airplanes	PC2 Top Ballista: DMs Booklet	59	PD
Alternate Saving Throws	https://bruce-heard.blogspot.com/2021/03/Saves.html		PD
Arena Payment	Imagine #22	10	PD
Armor Failure	GAZ10 The Orcs of Thar: Player's Guide	44	PD
Armor Value	GAZ15 Dawn of the Emperors - Thyatis and Alphatia - Book #2 - Player's Guide to Thyatis	29	PD
Artifacts	Wrath of the Immortals: Book #1: Codex of the Immortals	84	Dark Dungeons Deluxe
Assembling Armies	Dragon #191	41	PD
Bargaining	B10 Night's Dark Terror	POS7	
Cargo Trade	GAZ8 The Five Shires: Player's Booklet	28	PD
Caste	GAZ9 The Minrothad Guilds: Player's Booklet	28	PD
Castle Construction Expanded	Dragon #193	41	PD
Character Conditions	Rules Cyclopedia	150	Dark Dungeons Deluxe
Chariot Racing	Imagine #21	14	PD
City Encounters	https://bruce-heard.blogspot.com/2021/01/RandomCityEnc.html		PD
Clan Relics	Rules Cyclopedia	145	PD
Clans	GAZ8 The Five Shires	6	PD
Class Construction	Dragon #109	8	PD
Cloud Giant Castles	AC10 Bestiary of Dragons and Giants	43	PD
Construct Creation	Rules Cyclopedia	253	Dark Dungeons Deluxe
Craftmagic	GAZ7 The Northern Reaches: DM Book	27	PD
Cults & Orders	GM3 In Search of New Gods	2	PD
Damaged Gems	Rules Cyclopedia	226	PD
Delayed Spell Memorization	https://bruce-heard.blogspot.com/2020/07/DelayedMem.html		PD
Demi-Races	GAZ10 The Orcs of Thar: Dungeon Master's Booklet	35	PD
Desert and Caravan Travel Rates	GAZ2 The Emirates of Ylaruam	32	PD
Dominion	GAZ7 The Northern Reaches: Players Book	13	PD
Dragon Ceremony	Dragon #170	11	PD
Dragon Eggs	AC10 Bestiary of Dragons and Giants	17	PD
Dragon Magic	AC10 Bestiary of Dragons and Giants	4	PD
Dragon Parts	AC10 Bestiary of Dragons and Giants	59	PD
Dwarven Craftmagic	GAZ6 The Dwarves of Rockhome	33	PD
Dwarven Names	GAZ6 The Dwarves of Rockhome	13	PD
Dwarven Science	GAZ6 The Dwarves of Rockhome	36	PD
EXP For Honor	GAZ2 The Emirates of Ylaruam	33	PD
EXP for Magic-Users	GAZ3 The Principalities of Glantri	60	PD
Economics	Dragon #187, 189, 190	42, 43, 42	PD
Economics (Updated)	https://bruce-heard.blogspot.com/2020/06/Swords-true-cost.html		PD
Economics: Coin Size	https://bruce-heard.blogspot.com/2020/06/Coins.html		PD
Eleven Dominion Events	GAZ5 The Elves of Alfheim	33	PD
Epic Heroes	https://bruce-heard.blogspot.com/2020/05/EpicHeroes.html		PD
Equipment Kits	Dragon 191	28	PD
Expenditures	Polyhedron #18	26	PD
Family Status	GAZ7 The Northern Reaches: Players Book	20	PD
Fantasy Engineering	Champions of Mystara: Designer's Manual	18	PD
Flying Mounts	GAZ15 Dawn of the Emperors - Thyatis and Alphatia - Book #2 - Player's Guide to Thyatis.	26	PD
Foraging	Rules Cyclopedia	89	Dark Dungeons Deluxe
Giant Skills	AC10 Bestiary of Dragons and Giants	3	PD
