Weapon	Damage	Cost (gp)	Source	Pg. #	OGL Source/Legal Status
Axe, Battle	1d8	7	Rules Cyclopedia	62	Dark Dungeons Deluxe
Axe, Eye		4		30	
Axe, Mace		-		31	
Staff, Sword		5		30	
Khopesh, Short		15		31	
Khopesh, One-Handed		25		31	
Khopesh, Two-Handed		25		31	
Spear, Nithian				31	
Bow, Staff		15		32	
Throwing Stick		1		32	
Dagger, Throwing				32	
Setu				31	
Axe, Hand	1d6	4	Rules Cyclopedia	62	Dark Dungeons Deluxe
Axe, Tomahawk	1d4	??	GAZ14 The Atruaghin Clans - Player's Guide	62	Dark Dungeons Deluxe (Axe, Hand)
Blackjack	1d2	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Blowgun, 2' +	Nil	65	Rules Cyclopedia	62	Dark Dungeons Deluxe (Blowgun, Large)
Blowgun, Xitchen	1d4	??	GAZ14 The Atruaghin Clans - Player's Guide	51	TM
Blowgun, up to 2'	Nil	3	Rules Cyclopedia	62	Dark Dungeons Deluxe (Blowgun, Small)
Bola	1d2	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Bola, Tiger	1d4	??	GAZ14 The Atruaghin Clans - Player's Guide	51	TM
Boomerang	1d4	10	Dragon #186	50	Dark Dungeons Deluxe
Bow, Composite Long	??	??	Dungeons & Dragons: Set #1: Basic Set (1st Printing)	7	Dark Dungeons Deluxe (Longbow)
Bow, Composite Short (Horse)	??	??	Dungeons & Dragons: Set #1: Basic Set (1st Printing)	20	Dark Dungeons Deluxe (Shortbow)
Bow, Composite, Ethengar	1d6	??	GAZ12 The Golden Khan of Ethengar - Players' Guide	24	TM
Bow, Long	1d6	40	Rules Cyclopedia	62	Dark Dungeons Deluxe
Bow, Short	1d6	25	Rules Cyclopedia	62	Dark Dungeons Deluxe
Cestus	1d3	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Chakram	1d6	??	X5 Temple of Death	5	Dark Dungeons Deluxe
Chakram (Weapon Mastery)	1d6	??	Dragon #197	42	Dark Dungeons Deluxe
Claw, Tiger (Bagh nakha)	1d4	45	Imagine #24	32	Dark Dungeons Deluxe
Claw, War	1d4	??	Dragon #181	48	PD (Common Terms)
Club	1d4	3	Rules Cyclopedia	62	Dark Dungeons Deluxe
Crossbow, Cimarron Six-Shooter	1d4	80	Dragon #176	37	PD
Crossbow, Heavy	2d4	50	Rules Cyclopedia	62	Dark Dungeons Deluxe
Crossbow, Light	1d6	30	Rules Cyclopedia	62	Dark Dungeons Deluxe
Crossbow, Repeater Sporting	6d6 or 12d4?	1,500	GAZ7 The Northern Reaches: DM Book	42	PD
Dagger	1d4	3	Rules Cyclopedia	62	Dark Dungeons Deluxe
Dagger, Needle	1d3	3	HWR3 Hollow World: The Milenian Empire: Adventurer's Guide	28	Dark Dungeons Deluxe (Stiletto)
Dagger, Silver	1d4	30	Rules Cyclopedia	62	Dark Dungeons Deluxe
Gun, Hand	1d8+2	50	Dragon #199	98	Dark Dungeons Deluxe (Pistol)
Halberd	1d10	7	Rules Cyclopedia	62	Dark Dungeons Deluxe
Hammer, Throwing	1d4	4	Rules Cyclopedia	62	Dark Dungeons Deluxe
Hammer, War	1d6	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Iron Pot	1d8+6	500	Dragon #199	99	TM
Javelin	1d6	1	Rules Cyclopedia	62	Dark Dungeons Deluxe
Javelin, Barbed	1d6+1	??	GAZ14 The Atruaghin Clans - Player's Guide	51	PD
Knife, Bullroarer	1d6	??	X5 Temple of Death	5	TM
Knife, Bullroarer (Weapon Mastery)	1d6	??	Dragon #197	42	TM
Knife, Whale tooth	1d4	??	GAZ14 The Atruaghin Clans - Player's Guide	46	Dark Dungeons Deluxe (Dagger)
Knobbed stick	1d3	30	Imagine: Special Edition	-	Dark Dungeons Deluxe (Staff)
Lance	1d10	10	Rules Cyclopedia	62	Dark Dungeons Deluxe
Lance, Ethengar	1d10/1d6	??	GAZ12 The Golden Khan of Ethengar - Players' Guide	24	TM
Lasso	-	??	GAZ12 The Golden Khan of Ethengar - Players' Guide	24	Dark Dungeons Deluxe
Mace	1d6	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Mace, Flanged	1d6+1	??	HWR3 Hollow World: The Milenian Empire: Adventurer's Guide	27	PD
Net	-	-	Rules Cyclopedia	62	Dark Dungeons Deluxe
Oil, Burning	1d8	2	Rules Cyclopedia	62	Dark Dungeons Deluxe
Pike	1d10	3	Rules Cyclopedia	62	Dark Dungeons Deluxe
Polearm	1d10	7	Rules Cyclopedia	62	Dark Dungeons Deluxe (Poleaxe)
Poleaxe	1d10	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Poleaxe, Manscorpion	3d6	??	Dragon #192	45	PD/SRD Monster
Rock, Thrown	1d3	1/10	Rules Cyclopedia	62	Dark Dungeons Deluxe (Thrown Object)
Shield, Horned	1d2	15	Rules Cyclopedia	62	Dark Dungeons Deluxe
Shield, Knife	1d4+1	65	Rules Cyclopedia	62	Dark Dungeons Deluxe
Shield, Sword	1d4+2	200	Rules Cyclopedia	62	Dark Dungeons Deluxe
Shield, Tusked	1d4+1	200	Rules Cyclopedia	62	Dark Dungeons Deluxe
Sling	1d4	2	Rules Cyclopedia	62	Dark Dungeons Deluxe
Spear	1d6	3	Rules Cyclopedia	62	Dark Dungeons Deluxe
Spear, Barbed	1d6+1	??	GAZ14 The Atruaghin Clans - Player's Guide	51	PD
Spear, Buffalo-bone tipped	1d6	??	GAZ14 The Atruaghin Clans - Player's Guide	31	Dark Dungeons Deluxe (Spear)
Spear, Whale tooth	1d6	??	GAZ14 The Atruaghin Clans - Player's Guide	46	Dark Dungeons Deluxe (Spear)
Staff	1d6	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Staff-mace	2d4-1/2d4	60	Imagine: Special Edition	-	TM
Sword stick	1d6	20	Imagine: Special Edition	-	Dark Dungeons Deluxe
Sword, Bastard, One-Handed	1d6+1	15	Rules Cyclopedia	62	Dark Dungeons Deluxe
Sword, Bastard, Two-Handed	1d8+1	15	Rules Cyclopedia	62	Dark Dungeons Deluxe
Sword, Katana	1d8	10	Rage of the Rakasta	13	Dark Dungeons Deluxe (Normal Sword)
Sword, Normal	1d8	10	Rules Cyclopedia	62	Dark Dungeons Deluxe
Sword, Rapier (Update)	2d4+1	10	Dragon #175	46	Dark Dungeons Deluxe
Sword, Short	1d6	7	Rules Cyclopedia	62	Dark Dungeons Deluxe
Sword, Tanto	1d4	3	Rage of the Rakasta	13	Dark Dungeons Deluxe (Dagger)
